name;description;exc;trade;;;;
CDC999-VSS;CCTV R250 VSS Video Management Server;;56442.00;64908.30;;VSS-14SD-2124-5YR;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
CC400;HIK 2MP Mini Bullet Cam 2.8mm EasyIP 1.0;;1333.00;1532.95;EasyIP 1.0+;DS-2CD2021G1-I(2.8mm);
CC400-1;HIK 2MP Dome Cam 2.8mm Lens EasyIP 1.0;;1429.00;1643.35;EasyIP 1.0+;DS-2CD2121G0-I(2.8mm);
CC400-2;HIK 4MP Mini Bullet Cam IR30m EasyIP 1.0;;1504.00;1729.60;EasyIP 1.0+;DS-2CD2041G0-I;
CC401;HIK 2MP Bullet Cam IR60m 2.8-12mm EasyIP;;2614.00;3006.10;;DS-2CD2621G0-IZS(2.8-12mm);
CC401-1;HIK 2MP Dome Cam IR40m 2.8-12mm EasyIP;;2766.00;3180.90;;DS-2CD2721G0-IZS(2.8-12mm);
CC409-AS;2MP AcuSense Bullet Cam - 2.8mm Fixed;;2240.00;2576.00;;DS-2CD2026G2-IU/SL(2.8mm);
CC409-2TAS;2MP AcuSense Bullet Cam - 6mm Fixed Lens;;2329.00;2678.35;;DS-2CD2T26G2-ISU/SL(6mm);
CC409-4TAS;4MP AcuSense Bullet Cam - 4mm Fixed Lens;;2583.00;2970.45;;DS-2CD2T46G2-ISU/SL(4mm);
CC409-6;HIK IP Cam 2MP Bullet IR 20M - 4mm IP66;;1997.00;2296.55;;DS-2CD2026G2-I  4mm;
CC409-16;HIK IP Cam 2MP Bullet IR 30M 2.8mm IP67;;2031.00;2335.65;;DS-2CD2026G2-I;2.8mm
CC409-8;HIK IP Cam 2MP EXIR Bullet 50M 6mm IP66;;2302.00;2647.30;;DS-2CD2T26G2-2I(6mm);
CC409-10;HIK IP Cam 2MP EXIR Bullet 80M 6mm IP66;;2406.00;2766.90;;DS-2CD2T26G2-4I 6mm;
CC409-14;2MP ColorVu - Acusense Bullet 4mm Fixed;;2706.00;3111.90;;DS-2CD2T27G2-L  4mm;
CC409-15;4MP ColorVu - AcuSense Bullet 4mm Fixed;;2976.00;3422.40;;DS-2CD2T47G2-L(4mm);
CC409-16;HIK IP Cam 2MP Bullet IR 30M 2.8mm IP67;;2031.00;2335.65;;DS-2CD2026G2-I;2.8mm
CC409-17;2MP ColorVu - AcuSense Mini Bullet 2.8mm;;2223.00;2556.45;;DS-2CD2027G2-L(2.8mm);
CC409-18;4MP ColorVu - AcuSense Mini Bullet 2.8mm;;2564.00;2948.60;;DS-2CD2047G2-L(2.8mm);
CC409-W;2MP AcuSense Bullet - IR 30m - 2.8mm;;2074.00;2385.10;;DS-2CV2026G0-IDW(2.8mm);
